               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12955,            0.022734,             0.09751,             0.15825,            0.002924,          7.9161e-05,          1.5882e-05,             0.12066,            0.017687,            0.098478,             0.00018,             0.00018,             0.09838
                   1,             0.11638,            0.017475,            0.094843,            0.052847,            0.002924,          3.3293e-05,          3.3293e-06,             0.10322,            0.016641,            0.094032,          0.00036999,          0.00036999,             0.09667
                   2,            0.099425,            0.017421,            0.091558,            0.053121,            0.005848,          0.00023089,          5.8079e-05,            0.083629,            0.018536,            0.090735,          0.00055995,          0.00055995,             0.09496
                   3,            0.082377,             0.01993,            0.089535,             0.26381,            0.002924,          0.00029761,          0.00013495,             0.06476,            0.020684,             0.08916,          0.00074985,          0.00074985,             0.09325
                   4,            0.069665,             0.02093,             0.08864,           0.0036316,             0.09038,           0.0010634,          0.00052345,            0.061943,            0.020818,            0.088026,          0.00093967,          0.00093967,             0.09154
                   5,            0.060921,            0.020981,            0.088079,            0.066736,             0.24113,            0.018677,           0.0080047,            0.051527,            0.019494,            0.087179,           0.0011294,           0.0011294,            0.089829
                   6,            0.058491,            0.018846,            0.087269,             0.04597,             0.37349,            0.031253,             0.01392,            0.065135,            0.015999,            0.086629,            0.001319,            0.001319,            0.088119
                   7,            0.056014,            0.016331,            0.087166,             0.18128,             0.21814,            0.035394,            0.019015,            0.048134,            0.015099,            0.085597,           0.0015084,           0.0015084,            0.086408
                   8,            0.055392,            0.014654,            0.085478,             0.18413,             0.18532,            0.047119,            0.025838,            0.044932,            0.014435,            0.084688,           0.0016976,           0.0016976,            0.084698
                   9,            0.053655,            0.014395,            0.084913,             0.32528,             0.14419,            0.042393,            0.022511,               0.043,            0.013816,            0.084045,           0.0018866,           0.0018866,            0.082987
                  10,            0.049753,            0.013995,            0.084014,             0.61951,            0.069761,            0.047867,            0.026777,            0.038951,             0.01295,            0.083253,           0.0020754,           0.0020754,            0.081275
                  11,            0.049383,            0.013294,            0.084124,              0.3957,             0.17359,            0.052898,            0.030831,            0.036905,            0.012579,            0.082918,            0.002264,            0.002264,            0.079564
                  12,            0.048745,            0.012715,            0.083244,             0.47731,             0.16397,            0.056046,            0.033508,            0.042847,            0.011357,            0.082333,           0.0024522,           0.0024522,            0.077852
                  13,             0.05016,            0.012043,            0.082978,             0.13331,              0.3137,            0.061212,            0.040607,            0.036078,             0.01153,            0.081932,           0.0026402,           0.0026402,             0.07614
                  14,            0.047044,            0.012279,            0.082124,             0.21873,             0.26602,            0.068632,            0.044183,            0.038613,            0.010968,            0.081592,           0.0028278,           0.0028278,            0.074428
                  15,            0.047988,            0.011921,            0.083076,             0.26751,             0.28786,            0.067643,             0.03725,            0.038624,            0.010217,            0.081281,           0.0030151,           0.0030151,            0.072715
                  16,             0.04791,            0.010944,            0.081718,             0.35099,             0.27428,            0.070402,            0.044815,            0.034011,           0.0099251,            0.081044,            0.003202,            0.003202,            0.071002
                  17,            0.045485,            0.010545,            0.081915,             0.43311,             0.22198,            0.068902,             0.04625,            0.032003,           0.0095442,            0.080381,           0.0033884,           0.0033884,            0.069288
                  18,            0.043672,            0.010742,            0.081757,             0.51549,             0.18208,              0.0789,            0.052792,            0.036167,           0.0090739,            0.080123,           0.0035745,           0.0035745,            0.067574
                  19,            0.046043,            0.010019,            0.081064,             0.46634,             0.20576,            0.078403,            0.042153,            0.043648,           0.0086983,            0.079462,           0.0037601,           0.0037601,             0.06586
