               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12972,             0.02275,            0.097505,              0.1056,            0.002924,          7.5481e-05,           1.525e-05,              0.1209,            0.017698,             0.09854,             0.00018,             0.00018,             0.09838
                   1,             0.11691,            0.017539,            0.094843,            0.052842,            0.002924,          4.3084e-05,          1.1647e-05,             0.10202,            0.016809,            0.093758,          0.00036999,          0.00036999,             0.09667
                   2,              0.1004,            0.017417,            0.091604,             0.07954,            0.005848,          0.00025574,          7.0752e-05,            0.084867,            0.018498,            0.090769,          0.00055995,          0.00055995,             0.09496
                   3,            0.081906,             0.02003,            0.089586,             0.18473,            0.002924,          0.00031446,          7.2487e-05,             0.07299,            0.020439,            0.088901,          0.00074985,          0.00074985,             0.09325
                   4,            0.068781,            0.021131,             0.08871,           0.0036581,            0.089267,           0.0012196,          0.00052826,            0.059902,            0.020804,            0.088128,          0.00093967,          0.00093967,             0.09154
                   5,            0.059942,            0.021297,            0.088023,            0.069055,             0.22521,            0.021058,           0.0094135,            0.047384,            0.020074,            0.087497,           0.0011294,           0.0011294,            0.089829
                   6,             0.05766,            0.019024,             0.08724,             0.23393,             0.26863,            0.031594,             0.01295,            0.058555,            0.016289,            0.086817,            0.001319,            0.001319,            0.088119
                   7,            0.055811,            0.016357,            0.087099,             0.17881,             0.29137,            0.039265,            0.020155,             0.04327,            0.015253,            0.085709,           0.0015084,           0.0015084,            0.086408
                   8,            0.054043,              0.0147,            0.085406,             0.12904,             0.22707,            0.037462,             0.02088,            0.047726,            0.014328,            0.084828,           0.0016976,           0.0016976,            0.084698
                   9,            0.052233,            0.014534,            0.084891,            0.048416,             0.32382,            0.042537,            0.024339,            0.042076,             0.01376,            0.084099,           0.0018866,           0.0018866,            0.082987
                  10,            0.051531,            0.013767,            0.084031,             0.55058,               0.103,            0.049636,            0.030922,            0.036237,            0.013172,            0.083631,           0.0020754,           0.0020754,            0.081275
                  11,            0.050345,            0.013222,            0.084244,             0.04932,             0.33236,            0.045195,            0.020006,            0.041969,            0.012298,            0.083174,            0.002264,            0.002264,            0.079564
                  12,            0.048833,            0.012731,            0.083348,             0.50375,             0.15336,             0.05021,            0.028808,            0.041344,            0.011494,            0.082469,           0.0024522,           0.0024522,            0.077852
                  13,            0.048124,            0.012128,            0.082901,             0.39539,             0.20776,            0.055148,            0.034902,            0.036484,            0.011139,            0.082108,           0.0026402,           0.0026402,             0.07614
                  14,             0.04816,            0.012259,            0.082141,             0.58797,             0.15346,             0.06332,            0.033434,            0.043131,            0.010776,            0.081538,           0.0028278,           0.0028278,            0.074428
                  15,            0.047543,            0.011941,            0.082996,             0.23817,             0.32407,            0.064938,            0.039636,            0.034711,            0.010228,            0.081354,           0.0030151,           0.0030151,            0.072715
                  16,            0.045671,            0.010905,            0.081595,              0.1381,             0.35851,            0.072671,            0.046878,            0.034759,           0.0099314,            0.080992,            0.003202,            0.003202,            0.071002
                  17,            0.045885,            0.010531,            0.081802,             0.41063,             0.26506,            0.071687,            0.047985,            0.034446,           0.0096206,            0.080234,           0.0033884,           0.0033884,            0.069288
                  18,            0.043855,            0.010769,            0.081592,              0.4979,             0.20038,            0.079351,             0.05068,            0.031038,           0.0091925,            0.079777,           0.0035745,           0.0035745,            0.067574
