               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12955,            0.022736,            0.097508,             0.15826,            0.002924,           7.932e-05,          1.5901e-05,              0.1206,            0.017685,            0.098476,             0.00018,             0.00018,             0.09838
                   1,             0.11633,            0.017475,            0.094833,            0.079235,           0.0028408,           3.404e-05,           3.404e-06,             0.10294,            0.016656,            0.094063,          0.00036997,          0.00036997,             0.09667
                   2,            0.099309,            0.017422,             0.09157,            0.053128,            0.005848,          0.00023603,          4.9237e-05,            0.085374,            0.018502,             0.09079,           0.0005598,           0.0005598,             0.09496
                   3,            0.081954,            0.019914,             0.08948,          0.00045473,            0.021317,          0.00027663,          0.00011019,            0.074395,             0.02035,            0.088954,          0.00074941,          0.00074941,            0.093249
                   4,            0.068242,            0.021002,            0.088545,           0.0030204,            0.071557,           0.0010315,          0.00043056,            0.062584,             0.02087,            0.087834,          0.00093868,          0.00093868,            0.091539
                   5,            0.062206,            0.020853,            0.087959,             0.14883,             0.20499,            0.019682,           0.0081957,            0.049742,            0.019515,            0.087188,           0.0011275,           0.0011275,            0.089828
                   6,            0.057357,            0.018842,            0.087255,            0.044533,             0.41093,            0.031573,            0.015138,             0.04476,            0.017041,            0.086537,           0.0013158,           0.0013158,            0.088116
                   7,            0.055209,            0.016155,            0.087035,             0.17999,              0.2633,            0.035587,            0.019012,            0.045794,            0.015118,            0.085565,           0.0015035,           0.0015035,            0.086404
                   8,            0.055201,            0.014583,            0.085403,            0.050272,             0.36805,            0.043191,            0.022775,            0.044158,            0.014293,            0.084691,           0.0016905,           0.0016905,             0.08469
                   9,            0.051628,            0.014433,            0.084857,             0.29361,             0.15324,            0.042964,            0.023578,            0.040999,            0.013798,             0.08395,           0.0018766,           0.0018766,            0.082977
                  10,            0.050617,            0.013862,            0.084063,             0.40405,             0.14545,            0.052624,            0.028823,            0.049959,            0.012416,            0.083362,           0.0020618,           0.0020618,            0.081262
                  11,            0.050762,            0.013141,             0.08412,            0.077607,             0.38601,            0.055652,            0.029847,            0.038291,            0.012318,             0.08282,            0.002246,            0.002246,            0.079546
                  12,            0.048377,            0.012614,            0.083215,             0.39962,             0.18409,            0.059751,            0.037299,            0.035125,            0.011801,            0.082246,           0.0024291,           0.0024291,            0.077829
                  13,            0.047752,            0.012108,            0.082906,             0.51084,             0.12849,            0.058086,             0.03501,            0.038981,            0.011106,            0.081876,            0.002611,            0.002611,            0.076111
                  14,            0.046621,             0.01219,            0.082073,             0.29584,             0.26646,            0.067684,            0.044233,            0.037229,            0.010868,             0.08128,           0.0027915,           0.0027915,            0.074392
                  15,            0.048835,             0.01178,            0.082949,             0.34939,             0.28028,            0.067742,            0.041057,            0.038137,            0.010064,            0.081065,           0.0029707,           0.0029707,            0.072671
                  16,            0.046671,            0.010909,             0.08155,             0.21456,             0.33884,            0.065372,            0.040082,            0.034634,            0.009767,            0.080851,           0.0031484,           0.0031484,            0.070948
                  17,            0.045114,            0.010345,            0.081777,             0.42996,             0.23924,            0.074949,            0.048159,            0.034437,           0.0095198,             0.08034,           0.0033245,           0.0033245,            0.069224
                  18,            0.044639,            0.010718,            0.081808,             0.48162,              0.2087,            0.074172,            0.049312,            0.031574,           0.0090639,            0.080002,           0.0034989,           0.0034989,            0.067499
                  19,            0.044131,            0.010012,            0.081037,             0.58601,              0.1588,            0.077361,            0.046023,            0.035541,           0.0086576,            0.079521,           0.0036715,           0.0036715,            0.065772
                  20,            0.044822,           0.0088918,            0.081424,             0.37873,              0.2374,            0.077734,            0.049089,            0.032518,           0.0084236,            0.079401,           0.0038424,           0.0038424,            0.064042
                  21,            0.042033,           0.0093049,            0.080363,             0.44199,             0.13931,            0.078551,            0.048478,            0.032353,           0.0082545,            0.078649,           0.0040113,           0.0040113,            0.062311
                  22,            0.043683,           0.0092837,            0.079548,             0.53374,             0.15174,            0.076971,            0.046598,            0.033314,           0.0083303,            0.078743,           0.0041781,           0.0041781,            0.060578
                  23,            0.043087,           0.0087859,            0.078985,             0.52334,             0.16692,            0.085403,            0.056762,             0.03494,           0.0077424,            0.076687,           0.0043429,           0.0043429,            0.058843
                  24,            0.043799,           0.0082561,            0.077732,             0.30393,             0.27121,            0.089078,            0.059152,            0.043817,           0.0075241,            0.075098,           0.0045055,           0.0045055,            0.057105
                  25,            0.041612,           0.0086397,            0.076962,             0.46095,             0.25923,            0.092373,            0.049812,            0.036877,           0.0071631,            0.074906,           0.0046658,           0.0046658,            0.055366
                  26,             0.04744,           0.0083426,            0.075786,             0.45769,             0.28044,            0.091006,            0.051868,            0.041009,           0.0074551,            0.073478,           0.0048238,           0.0048238,            0.053624
                  27,            0.050918,           0.0085485,            0.076794,             0.71629,            0.093518,            0.071732,            0.032189,            0.048008,           0.0073504,            0.073073,           0.0049794,           0.0049794,            0.051879
                  28,            0.051874,           0.0091091,            0.075007,            0.086076,             0.35115,            0.082797,            0.049029,            0.043519,           0.0075541,            0.072344,           0.0051324,           0.0051324,            0.050132
                  29,            0.049749,           0.0091108,            0.074319,             0.60138,             0.20997,             0.10794,            0.063037,            0.039163,           0.0076084,            0.070441,           0.0052829,           0.0052829,            0.048383
                  30,            0.052257,           0.0088156,            0.072624,             0.30685,              0.3203,             0.10405,            0.045541,            0.044509,           0.0071361,            0.069717,           0.0054308,           0.0054308,            0.046631
                  31,            0.048692,           0.0081672,            0.074555,             0.17364,              0.4022,             0.10699,            0.057824,            0.038723,           0.0073139,            0.070084,            0.005576,            0.005576,            0.044876
                  32,            0.046397,           0.0081451,            0.073521,             0.19986,             0.41834,             0.11312,            0.072243,            0.038447,           0.0069351,            0.068816,           0.0057184,           0.0057184,            0.043118
                  33,            0.048508,           0.0080387,             0.07195,             0.33824,             0.32627,             0.11595,            0.076548,            0.038872,           0.0068314,            0.068068,           0.0058579,           0.0058579,            0.041358
                  34,            0.047094,           0.0078355,             0.07071,             0.66119,             0.17612,             0.12578,            0.077769,            0.035059,           0.0068359,            0.066686,           0.0059946,           0.0059946,            0.039595
                  35,            0.049774,           0.0072855,             0.07007,             0.44893,             0.33786,             0.12617,            0.082212,            0.036688,           0.0068915,            0.067725,           0.0061283,           0.0061283,            0.037828
                  36,             0.04309,            0.007826,            0.071951,             0.56041,             0.31673,             0.13566,            0.076681,            0.042631,           0.0064361,            0.066669,           0.0062589,           0.0062589,            0.036059
                  37,            0.048222,           0.0076482,            0.069398,             0.47658,             0.32051,             0.11168,             0.07037,            0.041443,           0.0066607,            0.065429,           0.0063865,           0.0063865,            0.034287
                  38,            0.041696,           0.0077649,            0.068662,             0.54902,             0.28455,             0.11729,            0.052872,            0.041906,           0.0065401,            0.064963,            0.006511,            0.006511,            0.032511
                  39,            0.043908,           0.0075615,            0.067222,             0.51042,             0.34765,             0.13948,            0.083641,            0.034751,           0.0063318,            0.063664,           0.0066323,           0.0066323,            0.030732
                  40,            0.044045,           0.0073316,            0.066782,             0.61901,             0.25678,             0.13335,             0.06573,            0.039406,           0.0065805,            0.063246,           0.0067503,           0.0067503,             0.02895
                  41,            0.046309,           0.0075337,            0.067169,             0.63769,             0.22153,             0.15017,             0.10596,            0.033987,           0.0065081,            0.062645,           0.0068651,           0.0068651,            0.027165
                  42,            0.041666,           0.0072467,            0.066692,             0.68089,              0.1951,             0.15812,            0.095138,            0.033752,           0.0062133,            0.062181,           0.0069766,           0.0069766,            0.025377
                  43,             0.04134,           0.0073872,            0.065307,             0.66731,              0.2284,             0.15165,            0.098341,            0.031901,           0.0063098,            0.062366,           0.0070846,           0.0070846,            0.023585
                  44,            0.040101,           0.0068207,            0.063194,             0.61976,             0.22905,             0.13636,            0.073933,            0.036089,           0.0062466,            0.060895,           0.0071893,           0.0071893,            0.021789
                  45,            0.040252,           0.0073292,            0.064331,             0.48886,             0.35879,             0.16374,              0.1025,            0.032796,           0.0062127,            0.060369,           0.0072905,           0.0072905,            0.019991
                  46,            0.041835,           0.0071488,            0.064208,             0.50726,             0.36569,             0.16305,             0.10263,             0.03654,           0.0062611,            0.060426,           0.0073883,           0.0073883,            0.018188
                  47,            0.040256,           0.0067377,            0.061962,             0.66888,             0.25019,             0.14808,             0.10174,             0.03485,           0.0062007,            0.061247,           0.0074826,           0.0074826,            0.016383
