               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12955,            0.022734,             0.09751,             0.15826,            0.002924,          7.8975e-05,          1.5806e-05,             0.12054,            0.017685,            0.098487,             0.00018,             0.00018,             0.09838
                   1,             0.11634,            0.017481,            0.094819,            0.052839,            0.002924,          3.0918e-05,          3.0918e-06,             0.10318,            0.016681,            0.094005,          0.00036999,          0.00036999,             0.09667
                   2,             0.10013,            0.017422,            0.091546,            0.053127,            0.005848,          0.00023017,          4.9418e-05,            0.082673,            0.018618,            0.090692,          0.00055995,          0.00055995,             0.09496
                   3,              0.0823,            0.019936,            0.089483,          0.00046143,            0.018393,          0.00022384,          0.00011895,             0.06639,            0.020698,            0.088981,          0.00074985,          0.00074985,             0.09325
                   4,            0.069277,            0.020985,            0.088652,           0.0023193,             0.04562,          0.00071928,          0.00027098,            0.058241,            0.021116,            0.087819,          0.00093967,          0.00093967,             0.09154
                   5,            0.061238,            0.020954,            0.088031,             0.17364,             0.16966,            0.019147,           0.0082956,            0.050924,            0.019738,            0.087104,           0.0011294,           0.0011294,            0.089829
                   6,            0.057652,            0.018944,            0.087264,            0.071802,             0.33033,            0.033241,             0.01407,            0.046367,             0.01703,            0.086415,            0.001319,            0.001319,            0.088119
                   7,             0.05592,            0.016269,            0.087176,             0.15297,             0.28252,            0.034723,            0.018776,            0.045939,            0.015514,            0.085444,           0.0015084,           0.0015084,            0.086408
                   8,            0.053593,            0.014744,            0.085387,             0.20723,             0.18507,            0.035649,            0.018213,            0.050272,            0.013798,            0.084664,           0.0016976,           0.0016976,            0.084698
                   9,            0.052078,            0.014487,            0.084953,             0.32753,             0.13589,             0.05001,            0.025338,            0.043711,            0.013696,            0.083993,           0.0018866,           0.0018866,            0.082987
                  10,            0.049612,            0.014024,            0.084047,             0.40758,             0.12481,             0.04835,            0.029417,            0.037797,            0.012967,            0.083269,           0.0020754,           0.0020754,            0.081275
                  11,            0.049683,             0.01332,            0.084171,             0.50706,             0.10387,            0.052545,            0.033877,            0.037094,            0.012384,            0.082919,            0.002264,            0.002264,            0.079564
                  12,            0.050323,            0.012659,            0.083323,             0.42266,             0.19195,            0.053053,            0.034223,            0.040121,            0.011765,            0.082301,           0.0024522,           0.0024522,            0.077852
                  13,            0.048525,            0.012144,            0.082924,             0.53287,             0.17523,            0.057008,            0.030895,            0.044727,            0.011139,            0.081842,           0.0026402,           0.0026402,             0.07614
