               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12945,             0.02232,             0.09699,          0.00012748,          0.00085034,          2.9423e-05,          6.1812e-06,             0.12325,            0.018539,            0.097417,             0.00018,             0.00018,             0.09838
                   1,             0.11577,            0.017479,            0.093654,                   0,                   0,                   0,                   0,             0.10592,            0.017837,            0.093191,          0.00036999,          0.00036999,             0.09667
                   2,             0.10046,            0.017421,            0.090564,                   0,                   0,                   0,                   0,            0.089028,            0.020085,            0.091177,          0.00055995,          0.00055995,             0.09496
                   3,            0.081365,            0.018809,            0.088619,           0.0026784,           0.0074292,          0.00019632,          9.5696e-05,            0.069036,            0.022779,            0.090023,          0.00074985,          0.00074985,             0.09325
                   4,            0.069778,            0.021036,            0.087478,           0.0014106,            0.037163,          0.00092615,          0.00017076,            0.062655,            0.022974,            0.089446,          0.00093967,          0.00093967,             0.09154
                   5,            0.061026,            0.020329,            0.087194,            0.011193,             0.20433,            0.013438,           0.0054987,            0.063875,             0.02152,            0.088719,           0.0011294,           0.0011294,            0.089829
                   6,            0.056998,            0.019144,            0.085727,             0.22931,             0.15536,            0.024125,            0.011568,            0.048549,            0.018161,            0.088202,            0.001319,            0.001319,            0.088119
                   7,            0.055573,             0.01658,            0.085141,             0.15978,              0.2064,            0.029628,            0.013726,             0.04893,            0.015608,            0.087386,           0.0015084,           0.0015084,            0.086408
                   8,            0.054108,             0.01507,            0.084516,             0.09144,              0.2819,            0.034993,            0.019224,            0.037423,            0.015799,             0.08648,           0.0016976,           0.0016976,            0.084698
                   9,            0.050916,            0.013986,            0.084168,             0.10784,             0.24496,            0.051694,            0.032327,            0.038642,            0.014801,            0.085894,           0.0018866,           0.0018866,            0.082987
                  10,            0.050669,            0.013721,            0.083228,             0.13922,             0.28113,            0.052635,            0.033271,            0.041896,            0.013774,            0.085494,           0.0020754,           0.0020754,            0.081275
                  11,            0.048972,            0.013037,            0.081888,             0.10043,             0.33432,            0.047009,             0.02425,            0.051444,            0.012935,            0.085096,            0.002264,            0.002264,            0.079564
                  12,            0.048679,            0.012769,            0.082012,             0.07258,             0.38587,            0.047272,            0.025439,            0.039733,            0.012771,            0.084673,           0.0024522,           0.0024522,            0.077852
                  13,            0.048141,            0.012396,            0.081666,            0.087181,             0.37177,            0.060574,            0.037254,            0.039283,            0.012308,            0.084385,           0.0026402,           0.0026402,             0.07614
                  14,            0.048042,            0.011295,            0.080406,             0.21588,             0.27679,            0.054852,            0.033089,            0.039638,            0.011702,            0.083846,           0.0028278,           0.0028278,            0.074428
                  15,            0.044718,            0.011424,            0.080971,            0.056333,             0.41548,            0.074388,            0.050169,            0.032553,            0.011277,            0.083545,           0.0030151,           0.0030151,            0.072715
                  16,            0.046865,            0.011207,            0.079615,              0.3219,             0.27577,            0.068824,            0.042196,            0.033486,            0.010998,            0.082794,            0.003202,            0.003202,            0.071002
                  17,            0.046441,            0.010373,             0.07907,             0.32557,             0.27893,            0.072642,            0.045206,            0.037796,              0.0105,            0.082372,           0.0033884,           0.0033884,            0.069288
                  18,            0.045432,            0.010172,            0.077145,             0.31526,             0.27299,            0.068927,            0.041455,             0.03634,           0.0099506,            0.081479,           0.0035745,           0.0035745,            0.067574
                  19,            0.044933,            0.010049,            0.076733,             0.38513,             0.26223,            0.071228,             0.03836,            0.035459,           0.0096936,            0.080674,           0.0037601,           0.0037601,             0.06586
                  20,            0.044027,             0.00933,            0.076438,             0.44369,             0.21707,            0.076736,            0.044328,            0.033909,           0.0093513,            0.080129,           0.0039452,           0.0039452,            0.064145
                  21,            0.042256,           0.0093972,            0.074817,             0.53982,             0.23887,            0.083796,            0.052116,            0.033502,           0.0087239,            0.079219,           0.0041298,           0.0041298,             0.06243
                  22,            0.045229,           0.0085944,            0.074912,             0.53344,             0.20166,             0.08202,            0.049404,             0.03322,            0.008506,            0.079252,           0.0043139,           0.0043139,            0.060714
                  23,            0.041977,           0.0086983,            0.072074,             0.47598,             0.24665,            0.084475,            0.054689,            0.031504,           0.0082455,            0.078271,           0.0044975,           0.0044975,            0.058997
                  24,            0.043218,           0.0080909,            0.073694,             0.19991,             0.36183,            0.082306,              0.0478,            0.032712,           0.0081519,            0.077926,           0.0046804,           0.0046804,             0.05728
                  25,            0.041658,           0.0084331,            0.071795,             0.45528,             0.24628,            0.090331,            0.055422,            0.031741,            0.008073,            0.077506,           0.0048628,           0.0048628,            0.055563
                  26,            0.052601,            0.008651,            0.072148,             0.51326,             0.25487,            0.091691,            0.053957,            0.041158,           0.0084148,            0.077123,           0.0050446,           0.0050446,            0.053845
                  27,            0.052671,           0.0091889,            0.071945,             0.49051,             0.29651,            0.095526,            0.053475,            0.039413,           0.0083721,             0.07629,           0.0052257,           0.0052257,            0.052126
                  28,             0.05088,            0.008512,            0.071697,             0.42224,             0.28517,            0.070689,            0.022833,            0.048201,           0.0082398,            0.075764,           0.0054061,           0.0054061,            0.050406
                  29,            0.049905,           0.0083655,            0.072166,             0.48297,              0.3041,             0.10149,            0.058495,            0.039876,           0.0078833,            0.075327,           0.0055859,           0.0055859,            0.048686
                  30,            0.048846,            0.008187,            0.070054,             0.30773,             0.34108,            0.099014,            0.051866,            0.043752,           0.0078151,            0.074705,           0.0057649,           0.0057649,            0.046965
                  31,            0.047002,           0.0079887,            0.068803,             0.41708,             0.34204,             0.10991,            0.061348,            0.041289,           0.0074673,            0.074241,           0.0059432,           0.0059432,            0.045243
                  32,             0.05016,           0.0079972,            0.068096,             0.70958,             0.14158,              0.1157,            0.067498,            0.038369,           0.0079557,            0.073011,           0.0061207,           0.0061207,            0.043521
                  33,            0.047927,           0.0076191,            0.065433,             0.43791,              0.3084,             0.10783,            0.066774,            0.038421,           0.0074982,            0.072931,           0.0062975,           0.0062975,            0.041797
                  34,            0.044937,           0.0076483,            0.067834,             0.50594,             0.33712,             0.11028,            0.059912,            0.038894,           0.0072939,            0.072707,           0.0064734,           0.0064734,            0.040073
                  35,            0.045501,           0.0076413,            0.063029,             0.70224,             0.18011,             0.12254,            0.078086,            0.035865,           0.0069941,              0.0715,           0.0066485,           0.0066485,            0.038349
                  36,            0.043705,           0.0075116,            0.063109,             0.57923,             0.28714,             0.11781,            0.074407,             0.03615,           0.0068344,            0.070668,           0.0068228,           0.0068228,            0.036623
                  37,            0.046794,           0.0075498,            0.062168,             0.52695,             0.29723,             0.10803,            0.058368,            0.035791,           0.0070747,            0.070248,           0.0069962,           0.0069962,            0.034896
                  38,            0.044732,           0.0075528,            0.063513,             0.47626,              0.3143,             0.12465,             0.07623,             0.03561,           0.0070809,            0.069576,           0.0071687,           0.0071687,            0.033169
                  39,            0.044839,             0.00682,            0.061949,             0.55568,              0.2929,             0.12605,            0.079908,             0.03327,           0.0070029,            0.068496,           0.0073403,           0.0073403,             0.03144
                  40,            0.044752,           0.0081095,            0.062419,             0.74386,             0.21449,             0.13386,            0.084616,            0.031744,           0.0070133,            0.068169,            0.007511,            0.007511,            0.029711
                  41,             0.04309,             0.00705,            0.060804,             0.63106,             0.31298,             0.13502,            0.091091,            0.036029,           0.0065174,            0.067589,           0.0076806,           0.0076806,            0.027981
                  42,            0.042043,           0.0068079,            0.058778,             0.59758,             0.35351,              0.1284,            0.076034,            0.038997,           0.0066506,            0.067267,           0.0078494,           0.0078494,            0.026249
                  43,            0.042021,           0.0067604,            0.057578,             0.51584,             0.38958,             0.13414,            0.081289,            0.034587,           0.0063903,            0.066792,           0.0080171,           0.0080171,            0.024517
                  44,            0.042116,           0.0065254,            0.059268,             0.62812,             0.33231,             0.12548,            0.081285,            0.032031,           0.0064207,            0.067471,           0.0081838,           0.0081838,            0.022784
                  45,            0.042855,           0.0067914,            0.060267,             0.60294,             0.35962,             0.14327,            0.095513,             0.03181,           0.0063941,            0.067344,           0.0083494,           0.0083494,            0.021049
