               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021651,           0.0089682,            0.031603,             0.56949,             0.53597,             0.53232,              0.4481,            0.017388,           0.0083081,            0.040261,             0.00018,             0.00018,             0.09838
                   1,            0.021557,           0.0086749,            0.030987,             0.57083,             0.54983,             0.53671,              0.4576,            0.016346,            0.008316,            0.039812,          0.00036993,          0.00036993,             0.09667
                   2,            0.020245,           0.0081751,            0.029086,             0.57151,             0.55495,             0.56406,              0.4793,            0.016228,           0.0083001,            0.038204,          0.00055956,          0.00055956,             0.09496
                   3,            0.020361,           0.0081934,            0.028557,             0.55357,             0.55824,             0.56446,             0.48255,            0.017603,           0.0082929,            0.038047,          0.00074867,          0.00074867,            0.093249
                   4,            0.020027,           0.0076635,            0.027107,             0.58929,             0.56387,             0.57575,             0.49495,            0.015321,           0.0080632,            0.036381,          0.00093704,          0.00093704,            0.091537
                   5,            0.019112,           0.0080021,             0.02595,             0.61965,             0.52933,             0.55969,             0.47852,            0.015259,           0.0080604,            0.036764,           0.0011244,           0.0011244,            0.089824
                   6,            0.019694,           0.0078971,            0.025541,             0.63386,             0.54967,             0.58615,             0.49812,            0.016214,           0.0077537,            0.036953,           0.0013106,           0.0013106,            0.088111
                   7,            0.019224,           0.0077003,            0.025962,             0.61117,              0.5619,             0.59038,             0.49939,            0.015854,           0.0077405,            0.037743,           0.0014955,           0.0014955,            0.086395
                   8,            0.019037,           0.0075075,            0.024188,             0.63214,             0.56382,             0.60609,             0.51965,             0.01425,           0.0072952,            0.036815,           0.0016786,           0.0016786,            0.084679
                   9,            0.018346,           0.0075475,            0.024265,             0.57364,             0.55558,             0.59329,             0.51001,            0.015246,           0.0074443,             0.03684,             0.00186,             0.00186,             0.08296
                  10,            0.018967,           0.0075051,            0.023643,             0.59718,             0.56251,             0.60672,             0.50775,            0.016105,            0.007439,            0.035693,           0.0020393,           0.0020393,            0.081239
                  11,            0.019808,            0.007462,            0.023517,             0.58851,             0.56708,             0.58406,             0.49645,            0.014655,           0.0074742,            0.038021,           0.0022163,           0.0022163,            0.079516
                  12,            0.019702,           0.0071092,            0.022827,             0.68333,              0.5389,             0.60016,              0.5049,            0.019407,           0.0074171,            0.034882,           0.0023909,           0.0023909,            0.077791
                  13,             0.01942,           0.0069782,            0.022639,             0.62605,             0.56353,             0.58704,              0.4952,            0.015792,           0.0070089,            0.037203,           0.0025628,           0.0025628,            0.076063
                  14,            0.020022,           0.0072924,            0.022437,             0.60047,             0.55374,             0.57433,             0.48244,             0.01556,           0.0071127,            0.036497,           0.0027319,           0.0027319,            0.074332
                  15,            0.020325,           0.0073155,            0.022162,             0.62261,             0.54348,             0.56381,             0.47322,            0.014566,           0.0071383,            0.036462,           0.0028979,           0.0028979,            0.072598
                  16,            0.020257,            0.006938,            0.021433,             0.60589,             0.54867,             0.57923,             0.48343,            0.016861,           0.0069884,            0.036936,           0.0030607,           0.0030607,            0.070861
                  17,            0.021127,           0.0068459,            0.022778,             0.62891,             0.55627,             0.57231,             0.47794,            0.015705,           0.0070489,            0.037946,           0.0032201,           0.0032201,             0.06912
                  18,            0.020984,           0.0072844,            0.021831,             0.64588,             0.50117,             0.55981,              0.4684,            0.015888,           0.0070118,            0.038528,           0.0033758,           0.0033758,            0.067376
                  19,            0.020493,           0.0069037,             0.02137,             0.52474,             0.59483,             0.57625,             0.48155,            0.016904,           0.0069887,            0.038045,           0.0035279,           0.0035279,            0.065628
