               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.015596,           0.0035151,            0.014804,             0.55725,             0.52107,             0.50999,             0.42469,            0.009297,           0.0025481,            0.015351,            5.76e-05,            5.76e-05,            0.049158
                   1,            0.015136,            0.003315,            0.014914,             0.54615,             0.51609,             0.49949,             0.41266,           0.0093754,           0.0026602,            0.015508,          0.00011837,          0.00011837,            0.048268
                   2,            0.014528,           0.0032204,            0.014296,             0.52894,             0.50897,             0.49293,             0.40602,           0.0091119,           0.0027027,            0.015528,          0.00017904,          0.00017904,            0.047379
                   3,            0.015747,           0.0034137,            0.015214,             0.51834,             0.51332,             0.49555,             0.41101,            0.009034,           0.0027313,            0.015455,          0.00023953,          0.00023953,             0.04649
                   4,            0.015525,           0.0031096,            0.015073,             0.55134,             0.48324,             0.49391,             0.41028,           0.0089194,           0.0027538,            0.015311,          0.00029976,          0.00029976,              0.0456
                   5,            0.013804,           0.0030531,            0.014357,              0.4556,             0.53618,             0.48723,             0.40872,           0.0091678,           0.0027651,            0.015177,          0.00035964,          0.00035964,             0.04471
                   6,            0.014752,           0.0030366,            0.014226,             0.46407,             0.52796,             0.48592,             0.40862,           0.0086465,           0.0027657,            0.015066,          0.00041911,          0.00041911,            0.043819
                   7,            0.013939,           0.0031345,            0.014295,              0.4608,             0.52334,              0.4848,             0.40711,           0.0087213,           0.0027448,            0.014929,          0.00047808,          0.00047808,            0.042928
                   8,            0.013957,           0.0032099,            0.013953,             0.51728,             0.49154,             0.47496,             0.40189,           0.0084384,           0.0027041,            0.014988,          0.00053648,          0.00053648,            0.042036
                   9,            0.014187,           0.0032876,            0.014351,             0.51658,             0.48201,             0.49381,             0.41877,           0.0083098,           0.0027044,            0.014804,          0.00059423,          0.00059423,            0.041144
                  10,            0.011691,           0.0027895,            0.013177,             0.46362,             0.51104,              0.4888,             0.41404,            0.008248,            0.002648,            0.014623,          0.00065127,          0.00065127,            0.040251
                  11,            0.013833,           0.0031821,            0.013477,             0.45882,             0.54559,             0.49278,             0.41511,           0.0081361,           0.0026224,            0.014541,           0.0007075,           0.0007075,            0.039358
                  12,            0.012554,           0.0031543,             0.01348,              0.4479,             0.57397,             0.51179,             0.43635,           0.0081381,           0.0025901,            0.014334,          0.00076288,          0.00076288,            0.038463
                  13,            0.012661,           0.0029123,             0.01375,             0.44744,             0.56509,             0.50855,             0.43158,           0.0081116,           0.0025681,            0.014245,          0.00081731,          0.00081731,            0.037567
                  14,            0.012246,           0.0028371,            0.013147,              0.4789,             0.57159,             0.51289,             0.43399,           0.0080101,           0.0025476,            0.014343,          0.00087074,          0.00087074,            0.036671
                  15,            0.012383,           0.0028479,            0.013448,             0.48373,             0.57686,             0.51629,             0.43756,           0.0078626,           0.0025014,            0.014151,           0.0009231,           0.0009231,            0.035773
                  16,            0.011607,           0.0027585,            0.012687,             0.51127,             0.54507,             0.52712,             0.44968,           0.0078867,           0.0024733,            0.013914,          0.00097432,          0.00097432,            0.034874
                  17,            0.012221,           0.0028797,            0.013139,             0.54507,               0.544,              0.5283,             0.44792,           0.0077923,           0.0024219,            0.013842,           0.0010243,           0.0010243,            0.033974
